threshold,records_over,ratio
20,8248,0.9986681196270735
300,4813,0.5827582031722969
500,3856,0.466884610727691
800,3003,0.3636033418089357
1000,2634,0.3189248092989466
1500,2223,0.2691609153650563
2000,1982,0.2399806271945756
