meta.source_type,count,min,mean,median,max
counsel_casebook,195,35,931.0358974358975,932.0,2412
guide,132,43,589.3712121212121,535.0,2627
interpretation,962,24,1345.6029106029107,508.0,10336
mediation_casebook,384,54,714.6640625,699.5,2827
precedent,3773,10,4824.818711900344,1334.0,359996
standard_contract,5,418,1617.6,1649.0,2839
statute,2808,5,310.68055555555554,164.5,32793
